,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id
102,139,123,65,f,Entire home/apt,1,3,369,239,Bedok,East Region,2129215
103,1217,1084,0,f,Entire home/apt,2,2,0,0,Southern Islands,Central Region,23849245
104,233,267,0,f,Entire home/apt,3,4,9,357,Choa Chu Kang,West Region,6824319
105,112,65,36,f,Private room,1,1,11,330,Geylang,Central Region,5464246
106,1126,110,65,f,Hotel room,1,4,1,328,Outram,Central Region,29526074
107,80,93,65,t,Private room,1,2,6,57,Bedok,East Region,27513236
108,180,187,0,f,Entire home/apt,1,1,0,358,Downtown Core,Central Region,13659860
109,130,111,88,t,Private room,1,2,0,166,Bedok,East Region,30031199
110,240,115,96,f,Hotel room,1,1,54,359,Singapore River,Central Region,21605333
111,50,95,65,f,Private room,1,1,2,358,Bedok,East Region,27424215
112,151,187,89,t,Entire home/apt,1,1,0,110,Downtown Core,Central Region,32223010
113,89,66,75,f,Private room,1,2,5,360,Jurong West,West Region,29295230
114,64,62,65,f,Private room,1,1,50,0,Geylang,Central Region,4645834
115,375,190,31,f,Entire home/apt,1,1,0,364,Novena,Central Region,44257508
116,246,59,0,f,Private room,1,10,2,365,Kallang,Central Region,41326546
117,300,294,41,f,Entire home/apt,2,2,0,356,Clementi,West Region,48127824
118,168,108,96,f,Private room,1,1,0,359,Rochor,Central Region,51005798
119,85,99,27,f,Private room,1,1,11,0,Tanglin,Central Region,7681974
120,61,105,100,f,Shared room,1,4,0,261,Downtown Core,Central Region,40901829
121,180,161,100,f,Entire home/apt,1,1,13,79,Outram,Central Region,37067343
122,209,83,100,t,Private room,1,1,18,350,Bukit Merah,Central Region,37999599
123,49,56,96,f,Private room,1,1,1,333,Kallang,Central Region,42190445
124,49,55,97,f,Private room,1,1,1,328,Geylang,Central Region,15538540
125,36,45,65,f,Shared room,1,1,8,55,Rochor,Central Region,8345921
126,350,341,65,f,Entire home/apt,4,3,1,271,Bukit Timah,Central Region,18492050
127,370,187,30,f,Entire home/apt,1,1,0,357,Downtown Core,Central Region,51833418
